modelo,tecnica,f1_macro_agrupado,ic95_bajo,ic95_alto,ancho_ic,f1_media_folds,f1_sd_folds,n_predicciones
labse,sin_aumento,0.686170845510987,0.6522334166512712,0.7171744845240978,0.06494106787282661,0.6838121064965377,0.04150529359681878,700
mbert,sin_aumento,0.715263116035025,0.6837504774859987,0.7469032731661157,0.063152795680117,0.7125042846028673,0.030783224228448206,700
xlmr,sin_aumento,0.6876998327178816,0.654816844566884,0.7183994579214081,0.06358261335452409,0.6830253150311194,0.031950326218044243,700
