modelo,tecnica,f1_macro,f1_ponderado,exactitud
labse,generate_then_refine,0.682979616182692,0.6831020853209759,0.6868686868686869
labse,mixup,0.6631908503829687,0.6620747571635763,0.6666666666666666
labse,retrotraduccion,0.6251946565289893,0.6263602872419676,0.6262626262626263
labse,sin_aumento,0.6943474825827767,0.6929631491722995,0.696969696969697
mbert,generate_then_refine,0.6833265495607711,0.6834322978177371,0.6868686868686869
mbert,mixup,0.6936535793678651,0.6911891820982731,0.696969696969697
mbert,retrotraduccion,0.5858591032593894,0.584001778572626,0.5959595959595959
mbert,sin_aumento,0.69773046703993,0.6948344298727931,0.696969696969697
xlmr,generate_then_refine,0.7410274454609429,0.7443617206548241,0.7474747474747475
xlmr,mixup,0.7373110355253213,0.7371385815830261,0.7373737373737373
xlmr,retrotraduccion,0.732339323221991,0.7339763892439092,0.7373737373737373
xlmr,sin_aumento,0.7223330241187383,0.7241413048231229,0.7272727272727273
