comparacion,diferencia_f1,ic95_bajo,ic95_alto,distinguible_de_cero
labse: mixup - sin_aumento,-0.0075624048494080665,-0.028837415608971864,0.014489516222049489,False
labse: retrotraduccion - sin_aumento,-0.007874678811791158,-0.03598593477200864,0.020506784157269874,False
labse: generate_then_refine - sin_aumento,0.016825690777400926,-0.004675594517713,0.03946258295784079,False
mbert: mixup - sin_aumento,0.0012880278428012426,-0.017485717992381904,0.02113021413300012,False
mbert: retrotraduccion - sin_aumento,-0.023357891683497445,-0.05252661774170698,0.004805934360775807,False
mbert: generate_then_refine - sin_aumento,0.0039340433151802134,-0.012899971980514752,0.021221934691322903,False
xlmr: mixup - sin_aumento,-0.010015947881287124,-0.024910354356852665,0.004921601983846425,False
xlmr: retrotraduccion - sin_aumento,-0.013948126292558927,-0.04046650248251149,0.011187704942436654,False
xlmr: generate_then_refine - sin_aumento,-0.02817112336511196,-0.050910573599999294,-0.005138688028643318,True
sin_aumento: xlmr - mbert,-0.029783951041831624,-0.06444410908584634,0.005435110753344728,False
sin_aumento: xlmr - labse,0.026389192076328838,-0.011060371302799247,0.06586966643943958,False
sin_aumento: mbert - labse,0.05617314311816046,0.018699978639348285,0.09422910270788543,True
