modelo,tecnica,f1_macro_agrupado,ic95_bajo,ic95_alto,ancho_ic,f1_media_folds,f1_sd_folds,n_predicciones
labse,sin_aumento,0.581591411630895,0.5468168261305982,0.6173952087086717,0.07057838257807347,0.5808711131208268,0.04397141516225846,700
labse,mixup,0.5740290067814869,0.5374241889726866,0.6076937521848903,0.07026956321220368,0.5737769203609637,0.028741155630947986,700
labse,retrotraduccion,0.5737167328191038,0.5364006770584887,0.6074865811301827,0.07108590407169402,0.571850134786809,0.038504876606571294,700
labse,generate_then_refine,0.5984171024082959,0.5606618686817757,0.6326454131053949,0.0719835444236192,0.598223092374093,0.025362059713899567,700
mbert,sin_aumento,0.6377645547490555,0.601921529262835,0.6704201555692758,0.06849862630644077,0.6332723677131108,0.07168906233722014,700
mbert,mixup,0.6390525825918567,0.6042269494734992,0.6711625100219094,0.06693556054841021,0.6343171446985432,0.0737455248911309,700
mbert,retrotraduccion,0.614406663065558,0.5791326925480108,0.6472180165147077,0.06808532396669686,0.6114397174545269,0.05560115973158031,700
mbert,generate_then_refine,0.6416985980642357,0.6041520778272441,0.6761784865120626,0.07202640868481847,0.6362336606204493,0.06372111961013177,700
xlmr,sin_aumento,0.6079806037072238,0.5708757823694687,0.6391925790868407,0.06831679671737201,0.600719999092856,0.03269406726114409,700
xlmr,mixup,0.5979646558259367,0.5612413164592766,0.6319077855664136,0.07066646910713703,0.5935823900138162,0.03455530560344437,700
xlmr,retrotraduccion,0.5940324774146649,0.5569815234368318,0.6261593271646864,0.06917780372785454,0.5855080594978898,0.05417321808205118,700
xlmr,generate_then_refine,0.5798094803421119,0.5444803024166277,0.6127256202991737,0.06824531788254595,0.5741901147410726,0.04675802214523144,700
-,trivial_mayoria,0.07527795772409343,0.059362111284745646,0.0918512031281879,0.03248909184344225,0.027329213299760968,0.0033206019007017053,700
-,trivial_nn_palabras,0.4824724647608359,0.44320717721523556,0.5161043508390047,0.07289717362376918,0.4798110605739484,0.019496738269645215,700
