modelo,tecnica,f1_macro_agrupado,ic95_bajo,ic95_alto,ancho_ic,f1_media_folds,f1_sd_folds,n_predicciones
labse,sin_aumento,0.7450696338645599,0.7125674146278939,0.7759694830340427,0.06340206840614881,0.7444761301306091,0.04146136041815407,700
labse,mixup,0.719476788992367,0.6840545113411812,0.7518932600251675,0.06783874868398632,0.719450594784281,0.04091776938816785,700
labse,retrotraduccion,0.7091118619938059,0.6757321592174651,0.739988618293749,0.06425645907628386,0.7059679586462723,0.04173979543221729,700
labse,generate_then_refine,0.733293707770976,0.6999398950302701,0.7626131159067155,0.06267322087644545,0.7327193095121574,0.04940046906493792,700
mbert,sin_aumento,0.757673861691756,0.7260376694438103,0.7885377086897652,0.06250003924595493,0.752631447745291,0.04445248812455683,700
mbert,mixup,0.7491289445489706,0.7175986930958793,0.7771366570812089,0.05953796398532962,0.7452255209561567,0.05246061578083407,700
mbert,retrotraduccion,0.7213962366462532,0.6883028293784882,0.7522244105977052,0.06392158121921698,0.7145580036558822,0.0373273389467164,700
mbert,generate_then_refine,0.7623155411286889,0.7325588995616767,0.7922798958123644,0.05972099625068761,0.7574168829458916,0.05070938420235705,700
xlmr,sin_aumento,0.7583086262733858,0.7265482583692808,0.7894635047130352,0.06291524634375434,0.7529154349339979,0.019934071702780044,700
xlmr,mixup,0.7388267974077802,0.7059771566163255,0.7693903368641675,0.06341318024784193,0.7352178825197606,0.008696982623866947,700
xlmr,retrotraduccion,0.7382745686545441,0.7052610187365176,0.7671016048685354,0.061840586132017816,0.7335130122571925,0.027725749819988862,700
xlmr,generate_then_refine,0.7685326359922852,0.736636753355629,0.7972229415510627,0.06058618819543371,0.7646061682025469,0.023692576123466137,700
-,trivial_mayoria,0.07527795772409343,0.059362111284745646,0.0918512031281879,0.03248909184344225,0.027329213299760968,0.0033206019007017053,700
-,trivial_nn_palabras,0.5175822279034337,0.4784427791549348,0.551863040918487,0.07342026176355221,0.5167643043663048,0.030589842666748163,700
