modelo,tecnica_aumento,silueta_original,silueta_aumentado,delta
labse,retrotraduccion,0.0493465848267078,0.0205819215625524,-0.0287646632641554
mbert,retrotraduccion,0.0302617736160755,-0.007149385754019,-0.037411159370094496
xlmr,retrotraduccion,0.0150881027802824,-0.0097674401476979,-0.024855542927980298
labse,generate_then_refine,0.0493465848267078,0.0552554503083229,0.005908865481615101
mbert,generate_then_refine,0.0302617736160755,0.0222086757421493,-0.008053097873926197
xlmr,generate_then_refine,0.0150881027802824,0.0097159724682569,-0.0053721303120255
