modelo,f1_macro_sin_aumento,mejor_tecnica_extrinseca,f1_macro_mejor_config,mejor_estrategia_intrinseca,silueta_coseno_mejor_estrategia,rank_extrinseco,rank_intrinseco
xlmr,0.7827623392139521,retrotraduccion,0.8205505413140414,max_pooling,0.0150881027802824,1,3
mbert,0.7513537982242706,generate_then_refine,0.7719850553951936,mean_pooling,0.0302617736160755,2,2
labse,0.7565315896473532,mixup,0.7582439987489249,cls,0.0493465848267078,3,1
