modelo,estrategia,silueta_coseno,davies_bouldin,calinski_harabasz
labse,cls,-0.018178878352046013,6.746449458221506,7.473031997680664
labse,mean_pooling,-0.02194317802786827,6.551944965128178,7.8439483642578125
labse,max_pooling,-0.03101135604083538,6.68256697130252,7.3301215171813965
labse,combinacion_capas,-0.015800703316926956,6.477101069199243,7.9383649826049805
mbert,cls,-0.00400882912799716,6.599577039413473,8.015729904174805
mbert,mean_pooling,-0.00913107581436634,6.293297233149297,8.184283256530762
mbert,max_pooling,-0.005715446546673775,6.510337355080364,7.758182048797607
mbert,combinacion_capas,-0.004675034433603287,6.308408677682684,8.584673881530762
xlmr,cls,-0.10541548579931259,6.666670667243868,11.424951553344727
xlmr,mean_pooling,-0.03070201352238655,6.68807851629719,10.834013938903809
xlmr,max_pooling,-0.031064210459589958,6.9052844886928915,9.018074989318848
xlmr,combinacion_capas,-0.03299867361783981,6.534595894027906,10.49425983428955
