modelo,estrategia,silueta_coseno,davies_bouldin,calinski_harabasz
labse,cls,0.04934658482670784,5.727501834266707,37.188255310058594
labse,mean_pooling,0.04697393625974655,5.779256103333983,25.06060218811035
labse,max_pooling,0.042269814759492874,5.916994820094649,23.81652069091797
labse,combinacion_capas,0.045497696846723557,5.6678356596294766,30.040966033935547
mbert,cls,0.00014889852900523692,5.146945956286225,73.2081527709961
mbert,mean_pooling,0.030261773616075516,5.5052826526479555,50.41559982299805
mbert,max_pooling,0.023535385727882385,5.740165881007852,39.464027404785156
mbert,combinacion_capas,0.009712169878184795,5.516684493750849,59.80457305908203
xlmr,cls,-0.0868111103773117,5.319938389209381,72.27954864501953
xlmr,mean_pooling,0.005209737457334995,5.519532111501256,25.09941291809082
xlmr,max_pooling,0.015088102780282497,5.670907598797668,26.37657928466797
xlmr,combinacion_capas,0.010594512335956097,5.556878901640014,23.343137741088867
