modelo,estrategia,silueta_coseno,davies_bouldin,calinski_harabasz
labse,cls,-0.03223901987075806,7.966576252216064,7.752017021179199
labse,mean_pooling,-0.038525622338056564,7.722436604374761,8.3974609375
labse,max_pooling,-0.04950258880853653,7.868526400128997,7.603362083435059
labse,combinacion_capas,-0.030449530109763145,7.68284322414257,8.491594314575195
mbert,cls,-0.013942568562924862,7.6335497654541955,8.484635353088379
mbert,mean_pooling,-0.017239660024642944,7.185933715880493,8.662980079650879
mbert,max_pooling,-0.017035460099577904,7.42990248054371,8.055487632751465
mbert,combinacion_capas,-0.009458273649215698,7.2734527314976845,9.136228561401367
xlmr,cls,-0.09599368274211884,7.6015795941014925,13.058732986450195
xlmr,mean_pooling,-0.03853661194443703,7.913045464340928,12.442743301391602
xlmr,max_pooling,-0.03645949438214302,8.158201253097285,10.781782150268555
xlmr,combinacion_capas,-0.04194401949644089,7.784387548516399,11.882246017456055
